#{"t_start": 1783431857.098685, "env_id": "None"}
r,l,t
-198.880896,1000,2643.067894
-227.338704,1000,2647.825725
-972.767559,1000,2652.654265
-264.397369,1000,2656.826136
-291.137291,1000,2661.027186
-377.538903,1000,2665.34107
-369.788811,1000,2669.502991
-776.307856,1000,2673.692375
-923.08316,1000,2678.020169
-284.957852,1000,2682.890948
-481.266319,1000,2688.299698
-397.658671,1000,2693.370168
-207.277502,1000,2698.131682
-1031.825607,1000,2703.675827
-402.107324,1000,2709.041648
-468.422674,1000,2715.663015
-217.977214,1000,2720.186185
-357.084964,1000,2724.727612
