#{"t_start": 1783397271.139304, "env_id": "None"}
r,l,t
-2631.296292,459,130.703917
-1889.332568,782,130.819424
-1550.577976,1000,130.967133
-1943.299421,557,131.364282
-1667.610304,392,131.421777
-1956.511414,556,131.504523
-2130.514171,573,131.590017
-2226.170129,496,131.976693
-1602.749498,358,132.029628
-2197.853789,445,132.095477
-2112.270066,514,132.170969
-2238.576295,636,132.581361
-2246.181542,565,132.666071
-694.910335,1000,132.813425
-2119.929472,532,133.207676
-2304.793915,433,133.272716
-2342.217454,439,133.337648
-1804.76299,389,133.394633
-2106.034419,671,133.810407
-2225.630922,468,133.879921
-2065.438602,483,133.950826
-2060.215567,467,134.019638
-4868.69197,980,134.477863
-5633.890805,698,134.579975
-8024.870998,858,135.056947
-2032.042817,555,135.139061
-3490.577495,768,135.252857
-1902.265175,557,135.64849
-2187.828878,464,135.717335
-3206.425248,1000,135.865726
-2069.595685,648,136.270889
-2057.764889,623,136.362981
-2040.856571,567,136.446342
-2250.965356,695,136.605174
-1647.150475,428,136.985762
-1871.276204,550,137.067417
-2066.172761,617,137.158451
-2330.732348,743,137.585343
-4781.264175,690,137.687265
-3551.904302,557,137.769546
-4210.102881,711,138.190746
-4873.150285,714,138.296579
-3255.831335,1000,138.444452
-2559.679222,922,138.898824
-2218.144598,1000,139.046615
-1917.689319,1000,139.500772
-4513.612209,1000,139.650357
-2436.064152,444,140.027624
-2290.167027,885,140.159938
-2181.548215,529,140.238023
-1702.543115,369,140.293009
-2250.649505,561,140.685194
-2769.89775,742,140.795696
-2842.58758,846,140.921672
-2329.973941,608,141.323995
-2114.995715,620,141.415753
-1960.039438,534,141.495699
-2478.030291,721,141.916088
-2474.931407,1000,142.064031
-1839.395836,1000,142.560955
-1502.54799,1000,142.708654
-1748.703568,1000,143.16796
-497.493746,1000,143.325232
-1519.171593,1000,143.786409
-1175.947727,1000,143.935888
-1208.627351,1000,144.398564
-1349.435072,1000,144.546645
-1401.337198,1000,145.007342
-1246.125247,1000,145.156817
-1018.864536,1000,145.617033
-2223.712928,1000,145.766618
-450.74973,1000,145.915589
-2138.701439,1000,146.377113
-569.250007,1000,146.524585
-318.810816,1000,146.986596
-610.849904,1000,147.134631
-265.190121,1000,147.593653
-1296.818058,1000,147.74339
-1008.177751,1000,148.206563
-2233.231391,1000,148.355468
-782.454207,1000,148.817273
-649.649939,1000,148.966243
-347.742306,1000,149.431738
-1882.779911,1000,149.582042
-497.811072,1000,150.04551
-2290.592605,1000,150.192383
-439.195761,1000,150.652911
-257.693063,1000,150.803078
-294.503211,1000,151.260453
-1663.184916,1000,151.397795
-463.081454,1000,151.850089
-258.545755,1000,151.99868
-433.082327,1000,152.460199
-2612.822973,1000,152.608805
-1852.902228,1000,153.071986
-519.566212,1000,153.221396
-1804.2757,1000,153.68036
-2116.996724,1000,153.829823
-1528.121469,1000,154.295499
-1465.390265,1000,154.44517
-647.054315,1000,154.906034
-2516.857695,1000,155.056122
-1445.955266,1000,155.51366
-644.608957,1000,155.660988
-676.291514,1000,156.144483
-683.404453,1000,156.293364
-1514.714224,1000,156.755096
-2626.736235,1000,156.905317
-2474.96882,1000,157.365803
-2619.494594,1000,157.515614
-710.908242,1000,157.977678
-1649.826485,1000,158.126654
-1723.282199,1000,158.586392
-1465.519823,1000,158.736522
-595.574636,1000,158.885519
-1646.410367,1000,159.353448
-1032.254735,1000,159.507168
-1280.379773,1000,159.98337
-277.219097,1000,160.137748
-451.796183,1000,160.61744
-1134.535504,1000,160.781925
-1482.619179,1000,161.340634
-686.99813,1000,161.504253
-1208.918741,1000,162.131196
-655.638552,1000,162.291828
-700.802883,1000,162.764129
-697.567311,1000,162.916197
-1031.732931,1000,163.401246
-849.443352,1000,163.552884
-804.510398,1000,164.039553
-764.106927,1000,164.192239
-924.276167,1000,164.663398
-1976.426109,1000,164.807395
-713.517533,1000,165.271279
-603.958657,1000,165.418624
-1757.015183,1000,165.88101
-825.914617,1000,166.029814
-837.383217,1000,166.49613
-885.804293,1000,166.644645
-793.255728,1000,167.109708
-976.377092,1000,167.261414
-616.765232,1000,167.770848
-1639.006728,1000,167.917916
-825.294753,1000,168.36926
-688.144088,1000,168.515798
-715.660584,1000,168.975643
-849.105781,1000,169.121101
-1358.385562,1000,169.57271
-457.887632,1000,169.722024
-435.612306,1000,170.175459
-641.538346,1000,170.320935
-533.054398,1000,170.774353
-512.285983,1000,170.918381
-601.019078,1000,171.37205
-416.357187,1000,171.549382
-814.944878,1000,171.998337
-398.39495,1000,172.14206
-441.540015,1000,172.284777
-252.47607,1000,172.729998
-352.084019,1000,172.872896
-216.720342,1000,173.321155
-844.984527,1000,173.464936
-245.746414,1000,173.919516
-180.350403,1000,174.063687
-879.430119,1000,174.513572
-279.520821,1000,174.659988
-315.217037,1000,175.114653
-253.297041,1000,175.257951
-862.973229,1000,175.708829
-293.873601,1000,175.853382
-199.563475,1000,176.302907
-880.626131,1000,176.446368
-335.191903,1000,176.892968
-285.667783,1000,177.035905
-275.060193,1000,177.519512
-270.514253,1000,177.665554
-1122.338544,1000,178.118555
-235.692819,1000,178.262773
-183.142765,1000,178.717202
-1076.009162,1000,178.867083
-1062.583421,1000,179.336945
-1217.672198,1000,179.488282
-1076.304759,1000,179.954424
-1042.947497,1000,180.102543
-965.888547,1000,180.579089
-1170.562539,1000,180.729774
-942.539186,1000,181.257489
-1092.105463,1000,181.407684
-201.846797,1000,181.897655
-974.223334,1000,182.055047
-946.971554,1000,182.543259
-962.748393,1000,182.696784
-996.755864,1000,183.175141
-182.211562,1000,183.327438
-181.018375,1000,183.788393
-188.154681,1000,183.943728
-930.351982,1000,184.447063
-143.73069,1000,184.597636
-908.410938,1000,185.078367
-183.696711,1000,185.233083
-237.213882,1000,185.383793
-935.1844,1000,185.859021
-1010.365445,1000,186.009001
-173.121502,1000,186.474717
-989.035011,1000,186.624419
-244.393547,1000,187.123571
-843.353816,1000,187.273583
-804.406701,1000,187.736655
-127.814192,1000,187.891074
-204.259582,1000,188.369907
-126.231473,1000,188.520815
-952.597049,1000,188.990672
-134.456608,1000,189.140039
-1102.485539,1000,189.612497
-958.875434,1000,189.764103
-1110.899096,1000,190.254615
-905.65393,1000,190.408302
-309.125493,1000,190.896587
-137.35727,1000,191.048536
-864.630838,1000,191.536425
-329.281373,1000,191.691176
-348.823469,1000,192.166027
-108.30532,1000,192.317295
-899.246048,1000,192.783246
-224.922348,1000,192.932853
-272.774633,1000,193.397227
-129.425206,1000,193.545941
-171.033166,1000,194.015014
-1013.514492,1000,194.165006
-158.379726,1000,194.633517
-153.473376,1000,194.780977
-155.714415,1000,195.285798
-790.603347,1000,195.437126
